"gloss","target_child_sex"
"they look a little big for a baby's shoe","male"
"that's a little baby bottle","female"
"that's the baby's bottle","female"
"that's the baby's bottle","female"
"that's for the baby","male"
"baby","male"
"do you wanna give the baby a kiss","male"
"and baby","male"
"I think that's for a baby","male"
"you holding the baby","male"
"is that a nice baby","male"
"give the baby a kiss","male"
"nice baby","male"
"baby's feet","male"
"what are these little things on the baby","male"
"baby's feet","male"
"baby's knees","male"
"baby","male"
"baby's bottle","male"
"baby","male"
"that looks like a baby","male"
"find the baby","male"
"find the baby","male"
"its for the baby","male"
"the babys not going to be in there","male"
"find the baby","male"
"is there a baby","male"
"is there a baby in there","male"
"why don't you go and see if there's a baby to drink it","male"
"do you wanna talk to the baby on the phone","male"
"baby","male"
"baby","male"
"do you see the baby","male"
"what does the baby say","male"
"what does the baby do","male"
"whats the babys name","male"
"whats the babys name","male"
"the babys going to be chilly","male"
"where's the baby","male"
"be gentle to the baby","male"
"whats the baby doing","male"
"poor baby","male"
"are you going to give the baby a hug","male"
"are you going to give the baby a ride","male"
"what are you doing to the baby","male"
"where are the babys eyes","male"
"you don't wanna leave those babys pants on","male"
"you want the baby to swim","male"
"you want the baby to swim","male"
"you take the baby for a ride","male"
"no don't hurt the baby","male"
"be gentle with the baby","male"
"where are the babys cheeks","male"
"poor baby","male"
"where's the babys","male"
"poor baby","male"
"baby walks","male"
"lets turn the baby the right way","male"
"poor baby","male"
"give the baby a hug","male"
"baby","male"
"whats the babys name","male"
"baby yeah baby","male"
"baby","male"
"is there a baby in the glass","male"
"are you going to go bang bang on the baby","male"
"you don't bang the baby","male"
"oh baby","male"
"baby Johnny","male"
"well leave the babys pants on","male"
"do you want the babys diaper off","male"
"you feed the baby","male"
"wanna give the baby some juice","male"
"you're feeding the baby","male"
"is the baby going to sleep","male"
"the baby's looking at you","male"
"the babys going to be chilly","male"
"are you going to close the baby's eyes","male"
"don't eat the baby","male"
"the babys doing a un","male"
"is that the babys button","male"
"don't do boom boom to the baby","male"
"be nice to the baby","male"
"where's the babys button","male"
"lets put the cover on the baby","male"
"baby yeah","male"
"lets cover the baby","male"
"do you wanna brush the babys hair","male"
"baby sleeps","male"
"be nice to baby","male"
"does the baby like it","male"
"baby","male"
"what is the baby doing Patrick","male"
"look at the baby","male"
"should I give the baby something to eat","male"
"should the baby drink some juice","male"
"are you closing the baby's eyes","male"
"give it to the baby","male"
"give it to the baby","male"
"is the baby going to sleep","male"
"its for the baby","male"
"baby","male"
"that's for the baby","male"
"baby sleeping","male"
"yeah baby's drinking milk","male"
"baby","male"
"can you get the baby for mommy","male"
"oh baby","male"
"don't put the baby down like that","male"
"oh you'll hurt the baby","male"
"baby","male"
"oh the poor baby","male"
"give baby a kiss","male"
"come back here with baby","male"
"bring baby back to mommy","male"
"are you going to give baby a kiss","male"
"going to give baby a hug","male"
"poor baby","male"
"ah are you going to hold the baby for mommy","male"
"oh poor baby","male"
"do you want the baby's blanket back on","male"
"do you wanna bring the baby back to mommy","male"
"baby thank_you","male"
"is this mommy's baby","male"
"are you going to kiss the baby","male"
"uhoh baby lost the blanket again","male"
"here's the baby un","male"
"I'm gonna give the baby some juice","male"
"you can comb the babys hair","male"
"nice baby","male"
"the baby","male"
"baby gets tired","male"
"does the baby have a pair of pants on","male"
"what does the baby have on","male"
"you're giving the baby a hug","male"
"oh you're so nice to the baby","male"
"why don't you give the baby a kiss","male"
"give the baby a kiss","male"
"you're having the baby kiss you","male"
"where are baby's toes","male"
"it's a bottle for the baby","male"
"there's the baby","male"
"I think the babys hungry","male"
"can you find the babys bottle","male"
"go get the baby","male"
"babys crying","male"
"do you wanna give that baby a bottle","male"
"its a baby bottle","male"
"do you want me to feed the baby","male"
"why don't you brush the babys hair","male"
"maybe you could brush the babys hair","male"
"there's the babys bottle","male"
"maybe you could feed the baby","male"
"why don't you put the baby to sleep","male"
"did you burp the baby","male"
"you cant put the baby to sleep until you've burped it","male"
"I think the babys crying because she's hungry","male"
"why don't you brush the doll babys hair","male"
"see the babys crying","male"
"babys crying","male"
"well you don't pick a baby up like that","male"
"baby doesn't like that in his mouth","male"
"baby wants her bottle","male"
"do nice to the baby","male"
"you feed the baby","male"
"are you gonna give the baby a kiss","male"
"you want me to hug the baby","male"
"do you wanna burp the baby","male"
"is this a baby","male"
"what about the other baby","male"
"you wanna show mommy how you hold the baby","male"
"can you burp the baby","male"
"what about the baby over there","male"
"show me how you hold the baby","male"
"maybe the baby needs his diaper changed","male"
"baby wants you to burp her","male"
"how about changing the babys diaper","male"
"you'll hurt the baby","male"
"you hold the baby like this","male"
"babys wants its diaper changed","male"
"you hold the baby like that","male"
"did the baby dirty the diaper","male"
"pretty baby","male"
"is the baby going to sleep","male"
"good_night baby","male"
"the babys cold now","male"
"you don't want the baby to be cold","male"
"lets make the baby all nice","male"
"nice baby","male"
"you do nice to the baby","male"
"do nice to the baby","male"
"make the baby a bottle","male"
"can you make the baby a bottle","male"
"you're making the baby cold","male"
"you're making the baby cold","male"
"you hafta keep the baby covered","male"
"babys all bundled up","male"
"who was the little baby that","female"
"what baby","female"
"what Mommy did when when the baby was here","female"
"get Willie settled get the babysitter and Willie introduced to each_other get by the dress shop","male"
"who's your favorite babysitter that you talked to today on the telephone","male"
"you were a baby","female"
"when you were a baby","female"
"this is called a baby carriage","male"
"where they put is that a baby in the carriage","male"
"but is that a baby","male"
"does a baby have a tail","male"
"a baby has a tail","male"
"does baby Allison have a tail","male"
"it's a baby","male"
"they're taking the kitty for a ride in the baby carriage","male"
"there's your baby right","male"
"she has him in a baby carriage","female"
"what do you put in your baby carriage","female"
"the cat jumped out_of the baby carriage when the little girl was picking a flower","female"
"this Nanette is is baby oatmeal","female"
"when you were a little tiny baby the first thing I ever gave you to eat was baby oatmeal","female"
"who took her baby kitty named","female"
"the baby bottle","male"
"we're buying everything for the baby today","female"
"so is the baby","female"
"baby food","female"
"ah oo he's so upset because she doesn't know where her baby kitty cat is","male"
"shry baby","male"
"well because I babysat for my one friends and she had it so I I read it the whole thing while I was there cause they were playin'","male"
"God bless that baby boy","male"
"baby turtles and the mommy turtle","male"
"I'm so hungry I could eat a little baby","male"
"here comes the baby","male"
"aw that baby's so cute","male"
"that's the mommy and the baby spider orange","male"
"has anybody seen my baby","male"
"has anybody seen my baby","male"
"has anybody seen my baby","male"
"that's the mommy and that's the baby","male"
"has anybody seen my baby","male"
"wee I got a tired baby on my hands big stretch","male"
"the baby's over there see","male"
"a baby's out in there","male"
"xxx can you babysit at eight o'clock","male"
"little baby","male"
"hi baby bear","male"
"hi baby bear","male"
"your babies are in there you have to go over there though to see the baby","male"
"hi baby bear","male"
"where's that baby","male"
"okay alright bye baby","male"
"this way bye baby","male"
"stand over here for the baby","male"
"what a cute baby","male"
"no because that one goes on baby potato","male"
"baby bear","male"
"baby bear","male"
"you can't you have to give it to baby potato because there's no room","male"
"hi baby","male"
"where's a baby","male"
"do you see a baby Alex","male"
"xxx little baby","male"
"little baby","male"
"and there's a little baby","male"
"see that's a baby and that's a baby and that's a baby","male"
"oh my little baby I missed you so much","male"
"big potato baby potato","male"
"bush baby","male"
"and a little baby","male"
"no put it on the little baby one","male"
"and a baby block tower","male"
"I have to beg my baby to get kisses","male"
"where's the baby bear","male"
"where's baby bear","male"
"would someone like to go to the zoo with baby bear","male"
"Alex where's baby bear","male"
"baby bear","male"
"baby bear","male"
"the mommy baby can't find the baby baby","male"
"baby bear","male"
"baby bear","male"
"have the mommy find the baby start up here","male"
"baby bear","male"
"okay you go put this on baby potato","male"
"yea cause it's cute on baby potato","male"
"those are for baby potato I think","male"
"those are for the baby potato","male"
"this is for baby potato","male"
"ya wanna put the orange hat on baby potato","male"
"that's the baby potato","male"
"hi Alex where's my baby potato head","male"
"I can't find my baby potato head","male"
"baby potato needs a hat","male"
"whoops sorry baby bear","male"
"no no get baby bear down it's","male"
"oh hi Alex I'm little baby potato head","male"
"we'll give baby potato","male"
"the little baby potato or the mommy potato","male"
"Alex would you like to see the baby","male"
"that's baby Alex","male"
"that's baby Alex at the xxx","male"
"that's baby Alex at the park","male"
"baby Alex at the beach","male"
"can I be baby potato","male"
"can I be baby potato","male"
"make baby potato","male"
"oh little baby potato head fell","male"
"but this is for baby potato it doesn't stay in look see it falls out","male"
"see this has to go on to baby potato","male"
"it's for a little baby potato","male"
"let's see I don't know if they'll fit cause I think these are for baby potato","male"
"that goes on baby potato","male"
"baby potato needs a hat","male"
"yeah I'm gonna change baby potato head right now","male"
"oh that's baby potato because it has a nose","male"
"it'll match baby potato's shoes","male"
"oh no where's baby potato's feet","male"
"baby potato","male"
"baby bear","male"
"where's baby bear","male"
"baby bear that's right","male"
"this one is the baby","male"
"baby something","male"
"baby whale","male"
"oh my little baby oh","male"
"baby things that go","male"
"would you like some Yobaby","male"
"Yobaby","male"
"you want some Yobaby","male"
"I'm gonna get you some Yobaby sweetie","male"
"you want the book about the baby","male"
"baby faces","male"
"where's baby","male"
"baby","male"
"is there a baby on there","male"
"baby","male"
"baby baby baby","male"
"dirty baby xxx","male"
"that's a dirty baby","male"
"clean baby","male"
"that baby took a bath","male"
"hm that baby took a bath","male"
"baby","male"
"oh you wanna give the baby a bottle","male"
"a baby","male"
"is that a baby","male"
"and a baby","male"
"and a baby","male"
"and a baby","male"
"baby","male"
"baby","male"
"what did the baby say","male"
"you gonna give that baby the bottle too","male"
"gave the baby a kiss","male"
"a baby cries","male"
"yup that's another book about a baby","male"
"more more said the baby","male"
"little guy's daddy has to run like anything just to catch that baby up","male"
"yup there's a mommy and a baby and a little boy little boy's wearing a hat","male"
"but little guy's daddy catches that baby up alright","male"
"he throws that baby high wee","male"
"and he swings that baby all around","male"
"little pumpkin's grandma has to run like anything just to catch that baby up","male"
"but little pumpkin's grandma catches that baby up alright","male"
"yup she holds that baby","male"
"and swings that baby all around swing","male"
"oh my best little grand baby little pumpkin's grandma sings to little pumpkin","male"
"the baby has toes","male"
"brings that baby right up close","male"
"little bird's mommy has to move like anything just to catch that baby up","male"
"but little bird's mommy lifts that baby in her arms alright she rocks that baby back and forth rock rock rock rock","male"
"and gets that baby ready for bed","male"
"oh my best little baby little bird's mommy sings to little bird","male"
"then little birds mommy brings that baby right up close","male"
"she gives that little baby a kiss right on each of her little eyes","male"
"you gonna give that to the baby too","male"
"that's what the baby said the baby said more more more","male"
"are you giving the baby your pacifier","male"
"more more said the baby","male"
"baby","male"
"more more said the baby","male"
"you want more more said the baby","male"
"and gets that baby ready for bed she puts the baby in bed","male"
"more more said the baby","male"
"look the baby's sleeping","male"
"yup there's a baby right there","male"
"there's another baby","male"
"has to run like anything just to catch that baby up","male"
"but she catches that baby up alright","male"
"baby","male"
"she holds that baby nose to nose","male"
"she swings that baby all around","male"
"oh my best little grand baby just look at you with your ten little toes","male"
"so she lifts the baby right up close and tastes each of little pumpkins' toes","male"
"that's Yobaby","male"
"peach Yobaby","male"
"up a little baby chicken","male"
"you want some Yobaby","male"
"you have a lot of Yobaby on your face","male"
"Maisy feeds the baby sheep","male"
"more Yobaby","male"
"more Yobaby","male"
"Yobaby mhm","male"
"top you want the top to the Yobaby","male"
"and the mommy kangaroo and the baby kangaroo","male"
"mommy one baby rhinoceros","male"
"you have a lot of Yobaby on your face","male"
"Yobaby on your face","male"
"and the baby monkey","male"
"you want more Yobaby","male"
"baby","male"
"where's the baby","male"
"are you a baby","male"
"is Ethan a baby","male"
"more more said the baby","male"
"more more said the baby","male"
"little guy's daddy has to run like anything just to catch that baby up","male"
"little guys' daddy catches that baby up alright","male"
"he throws that baby up high and","male"
"and swings that baby all around","male"
"byebye baby","male"
"little pumpkins' grandma has to run like anything just to catch that baby up","male"
"but little pumpkin's grandma catches that baby up alright","male"
"she holds that baby nose to nose","male"
"she swings that baby all around","male"
"oh my best little grand baby little pumpkin's grandma sings to little pumpkin","male"
"then little pumpkin's grandma brings that baby right up close","male"
"that's another baby baby sleeping","male"
"do you want some more Yobaby sweetie","male"
"you're one good baby","male"
"mommy cow baby cow mommy horse baby horse mommy sheep baby lamb mommy pig baby pig and two little mice","male"
"baby finger that's right","male"
"uh_hmmm they all love the little baby","male"
"the baby's crying","male"
"and he's giving the baby his teddy bear","male"
"yeah hush little baby book","male"
"boo baby","male"
"oh baby","male"
"oh a mommy bunny that's right a mommy bunny and a baby bunny","male"
"hush little baby","male"
"yeah baby's sleeping that's right","male"
"baby's crying baby's sleeping","male"
"yup baby","male"
"the baby's sitting in the stroller right","male"
"yeah the baby's sleeping","male"
"sad baby","male"
"hungry baby","male"
"thirsty baby","male"
"thirsty baby","male"
"thirsty baby says I want juice","male"
"hungry baby says I want food","male"
"messy baby","male"
"rock a by baby","male"
"and down will come baby cradle and all","male"
"toy animals even a baby elephant","male"
"she gives the baby lots_of milk from a bottle","male"
"he's just a little baby","male"
"yeah Bob the baby","male"
"he's Bob the baby","male"
"baby kittens","male"
"baby kittens leans forward and backward on the rocking+horse to make it go up and down","male"
"I knew it Percy I knew it said Bill that was the owl baby book wasn't it","male"
"once there were three baby owls Sarah Percy and Bill","male"
"the baby owls thought and all owls think a lot I think she's gone hunting said Sarah to get us our food said Percy what did Bill say","male"
"baby bear yeah he's a baby","male"
"and the baby owls closed their owl eyes and wished their owl mother would come","male"
"oh baby bear","male"
"what's all the fuss their owl mother asked you knew I would come back the baby owls thought I knew it said Sarah","male"
"she's searching for her baby","male"
"maybe the baby's hiding behind the traffic cone","male"
"my poor baby with your eye does your eye hurt pumpkin","male"
"there's a new baby xxx","male"
"when I was a baby I can't sing it very well when I was a baby","male"
"when I was a baby I had a diaper round my little tummy","male"
"aw baby bear","male"
"that's the baby bear","male"
"you saw some little baby baby baby crabs","male"
"the lamb and the baby","male"
"mommy pig baby pig","male"
"mommy sheep baby lamb","male"
"mommy horse baby horse","male"
"mommy horse baby horse mommy cow baby cow","male"
"okay there's another little piece of tail maybe we'll have a mommy dragon and a baby dragon","male"
"mommy and baby xxx","male"
"a little baby tower","male"
"come on baby","male"
"come on baby","male"
"should we make a baby bird now","male"
"I'll make the baby bird","male"
"I'm trying to make a baby bird there's a tail","male"
"baby in the bath","male"
"hush_a_bye baby blue","male"
"there's the baby right","male"
"for a baby","male"
"baby","male"
"hush_a_bye baby blue","male"
"and the baby","male"
"it says baby love","male"
"baby loves hugs","male"
"baby loves hugs","male"
"baby loves kisses","male"
"baby loves kisses","male"
"see the baby","male"
"baby loves to share","male"
"baby loves you this much","male"
"baby says la la la la la la la la la la la la la","male"
"there's a baby right","male"
"a baby and a diaper","male"
"and baby says no","male"
"baby says no","male"
"and there's the baby's toes","male"
"baby has toes","male"
"see the baby","male"
"we have a new baby in the house said Peter's mommy","male"
"what was the baby's name","male"
"and the baby's toes toes toes toes toes toes toes","male"
"oh baby","male"
"baby says ooh","male"
"baby says ah","male"
"baby","female"
"baby","female"
"baby","female"
"baby","female"
"that's a baby cow","female"
"I think your baby bunny's in your dollhouse","female"
"I think your baby bunny's in your dollhouse","female"
"do you see baby bunny","female"
"there's your baby bunny","female"
"should we put the baby bunny in the crib","female"
"should we put the baby bunny in the crib","female"
"hi baby bunny","female"
"hi baby","female"
"the baby's laughing","female"
"baby bunny","female"
"xxx here's a kiss for baby bunny","female"
"hi baby bunny","female"
"oh the baby's crying","female"
"rock a bye baby","female"
"baby bunny","female"
"you could put your baby bunny the kitchen honey","female"
"is that a baby","female"
"is that a baby","female"
"baby's in the refrigerator","female"
"can you say baby","female"
"baby's in the microwave","female"
"is Sam just a baby","female"
"the baby's in the microwave","female"
"he's a baby","female"
"baby","female"
"is Po your baby","female"
"is Po your little baby","female"
"the baby crib","female"
"is Po a baby","female"
"mm is that your baby bunny","female"
"oh baby bunny's in the crib","female"
"oh the baby's crying","female"
"oh the baby bunny and the man in the raincoat","female"
"it's baby Lily","female"
"is that your baby","female"
"is that your baby","female"
"baby says mm mm mm good","male"
"mm baby has bottle","male"
"baby's drinking the bottle","male"
"baby says byebye","male"
"and the baby says byebye","male"
"Bert and Ernie and baby says byebye","male"
"I see your little baby duck in there","female"
"your little baby duck's in the dining room","female"
"your little baby duck's in there","female"
"there's your baby duck","female"
"is that a baby","female"
"is there a baby in that picture","female"
"is there a baby in that picture","female"
"and there's the baby","female"
"baby","female"
"baby","female"
"baby","female"
"baby","female"
"Carly's a big girl and Sam's a little baby","female"
"that's Sam the baby","female"
"your baby book","female"
"wanna read your baby book","female"
"that's a baby","female"
"baby","female"
"where's the baby","female"
"where's the baby","female"
"where's the baby","female"
"there's the baby","female"
"naked baby","female"
"naked baby","female"
"you wanna read your baby book","female"
"that's a little baby","female"
"that baby's a little dirty","female"
"there's a baby behind you in the fireplace I see","female"
"you see the baby in the fireplace","female"
"baby","female"
"baby","female"
"you wanna put the baby in the stroller","female"
"where's the baby","female"
"there's the baby","female"
"baby","female"
"baby","female"
"baby","female"
"the baby's in the stroller","female"
"baby","female"
"baby's in the chair","female"
"the baby's in the chair","female"
"hi baby","female"
"the baby's in the chair","female"
"baby","female"
"hello you wanna give the baby a kiss","female"
"do you see the baby in the fireplace","female"
"do you see the baby in the triangle","female"
"hm ut do you see the baby","female"
"ya wanna read your baby book","female"
"where's your baby book","female"
"there's your baby book","female"
"where's the baby can you see Lily","female"
"the baby","female"
"look at this baby","female"
"look at the tiny chubby baby","female"
"you want your baby book","female"
"yeah that's mommy that's a baby","female"
"you see the baby","female"
"huh ah the baby","female"
"baby of the world","female"
"Jane has a baby of her own now we hafta go see","female"
"you want the baby book now","female"
"how's Trevor when he was a baby","female"
"at home Lily pretended to be Mr Slinger I am the teacher she told her baby brother Julius you must listen to me","female"
"do you see that little baby in there","female"
"do you see that little baby in there","female"
"my parents my brother and every my baby sister Louise","female"
"she was a teenie tiny baby","female"
"wanna read your baby book","female"
"that's a naked baby","female"
"baby Phoebe","female"
"xxx a little baby toothpaste","female"
"I think those are baby","female"
"huh and the baby has a ball too","female"
"is that the baby","female"
"is there a baby in the fire place","female"
"that baby's eating","female"
"yeah that's a little baby puppy that's a baby dalmatian","female"
"and that is a baby golden retriever just like Mango and Romy","female"
"I think that's a baby cocker spaniel","female"
"baby","female"
"she could look at the pictures of the baby puppies","female"
"the baby doggies","female"
"you're a little baby toothpaste junkie","female"
"you wanna give the baby a kiss","female"
"cry baby","female"
"is that a baby baboon","female"
"muah there's a kiss for the baby","female"
"baby","female"
"ooh baby has a ball baby has a teddy","female"
"the baby","female"
