gloss,target_child_name,part_of_speech,target_child_sex
the little house,Benjamin,det:art adj n,male
mow the lawn okay,Benjamin,v det:art n adj,male
that wasn't very nice,Benjamin,comp cop adv adj,male
can the dad do something nice,Benjamin,mod det:art n v pro:indef adj,male
I don't think he's a little big for that carriage,Benjamin,pro:sub mod v pro:sub det:art adj adj prep det:dem n,male
to infinity and beyond okay,Benjamin,prep n coord adv adj,male
oh okay,Benjamin,co adj,male
that's a tough one,Benjamin,pro:dem det:art adj pro:indef,male
here come that big bubble,Benjamin,adv v det:dem adj n,male
go get more sand okay,Benjamin,v v qn n adj,male
tell you gotta better tell him to be careful,Benjamin,v pro:per mod adj v pro:obj inf cop co,male
you want that down okay,Benjamin,pro:per v adv adv adj,male
no that's the potty,Benjamin,co pro:dem det:art adj,male
what do you do in the potty,Benjamin,pro:int mod pro:per v prep det:art adj,male
that's a big puppy house,Benjamin,pro:dem det:art adj n n,male
baby wanna go pee okay,Benjamin,n v v n adj,male
he's too big for that,Benjamin,pro:sub adv adj prep pro:dem,male
puppy's awake,Benjamin,adj adj,male
sorry we hafta be quick today,Benjamin,adj pro:sub mod cop adv adv:tem,male
is that the potty,Benjamin,cop comp det:art adj,male
what what happened to this little farmer,Benjamin,pro:int v prep det:dem adj n,male
I don't know if Ryan's going to be able to understand all of this,Benjamin,pro:sub mod v comp n:prop part inf cop adj inf v pro:indef prep pro:dem,male
see where the it's got little buttons,Benjamin,v pro:int pro:per part adj n,male
you got it okay,Benjamin,pro:per v pro:per adj,male
oh that little farmer was upside down,Benjamin,co det:dem adj n cop adv adv,male
too long ago I guess that was Friday,Benjamin,adv adj post pro:sub n pro:rel cop n:prop,male
that's not nice,Benjamin,pro:dem neg adj,male
I think this seat's too big for you,Benjamin,pro:sub v det:dem n adv adj prep pro:per,male
you need that seat okay,Benjamin,pro:per v det:dem n adj,male
it's a little swimmer,Benjamin,pro:per det:art adj n,male
she's gonna walk okay where's she gonna walk to,Benjamin,pro:sub part n adj pro:rel pro:sub part v inf,male
what about the little b what about the little boy,Benjamin,pro:int prep det:art adj pro:int prep det:art adj n,male
Shelby's mommy,Emily,adj n,female
what was the doggy saying,Benjamin,pro:int cop det:art adj part,male
he was too big like that,Emily,pro:sub cop adv adj prep pro:dem,female
can you draw a big circle,Benjamin,mod pro:per v det:art adj n,male
you got a big piece of paper,Benjamin,pro:per v det:art adj n prep n,male
can you show Ryan a big circle,Benjamin,mod pro:per v n:prop det:art adj n,male
it's fixed okay but what what is that that you just fixed,Benjamin,pro:per part adj conj pro:int pro:int cop comp comp pro:per adv part,male
what's the little boy doing,Benjamin,pro:int det:art adj n part,male
now they're sit down okay,Benjamin,adv pro:sub v adv adj,male
don't eat the crayons they're yucky,Benjamin,mod v det:art n pro:sub adj,male
they're on the potty in there,Benjamin,pro:sub prep det:art adj prep n,male
this a bath okay,Benjamin,pro:dem det:art n adj,male
he did see a stuffed zebra at the doctor's office,Benjamin,pro:sub mod v det:art part n prep det:art adj n,male
he saw a huge Great_Dane someone was walking a Great_Dane xxx dog,Benjamin,pro:sub v det:art adj n:prop pro:indef aux part det:art n:prop n,male
oh runaway baby,Benjamin,co adj n,male
Superman better rescue her,Benjamin,n:prop adj v pro:obj,male
Superman better oh Superman better be careful when he's flying with that baby,Benjamin,n:prop adj co n:prop adj aux co conj pro:sub part prep det:dem n,male
uh you're kinda goofy kid,Benjamin,pro:per n prep adj n,male
it doesn't close it just stays open,Benjamin,pro:per mod v pro:per adv cop adj,male
well I've got ten o'clock I don't know how long you,Benjamin,co pro:sub part det:num n pro:sub mod v pro:int adj pro:per,male
it's gonna be hard to rescue her then,Benjamin,pro:per part cop adj inf v pro:obj adv:tem,male
Ryan's making a big I don't think he's making a big circle,Benjamin,n:prop part det:art adj pro:sub mod v pro:sub part det:art adj n,male
you forgot to tell Ryan you don't have a driver's license,Benjamin,pro:per v inf v n:prop pro:per mod v det:art adj n,male
good girl,Emily,adj n,female
a little peach on it,Benjamin,det:art adj n prep pro:per,male
that is a big farm,Benjamin,pro:dem cop det:art adj n,male
go on horsie okay,Benjamin,v prep n adj,male
watch out for the cars okay,Benjamin,v adv prep det:art n adj,male
oh he's gotta go on there okay,Benjamin,co pro:sub mod v prep n adj,male
you sure,Benjamin,pro:per adj,male
um yes it's just about time,Benjamin,co pro:per adj prep n,male
I hope not don't be mean,Benjamin,pro:sub n neg mod cop adj,male
no not Aunt Deacon's house,Benjamin,co neg n:prop adj n,male
how about where where do you go and take long long walks,Benjamin,pro:int adv pro:rel mod pro:per v coord v adj n,male
who do you take long walks with down to the waterfall,Benjamin,pro:int mod pro:per v adj n prep adv prep det:art n,male
that's Papa's house,Benjamin,pro:dem adj n,male
and who else is at Papa's house,Benjamin,coord pro:int post aux prep adj n,male
you gonna make a Granny okay,Benjamin,pro:per part v det:art n:prop adj,male
robin's eggs,Benjamin,adj n,male
on a sick elephant,Benjamin,prep det:art adj n,male
you're silly you are just too silly,Benjamin,pro:per adj pro:per cop adj adv co,male
go around that okay,Benjamin,v prep det:dem adj,male
put it back maybe you can open it next time,Benjamin,v pro:per adv adv pro:per mod v pro:per adj n,male
no not green or black,Benjamin,co neg adj coord n,male
no I'm making a little house,Benjamin,co pro:sub part det:art adj n,male
no they just have a little house,Benjamin,co pro:sub adv v det:art adj n,male
a little porch there's a little door,Benjamin,det:art adj n pro:exist det:art adj n,male
there's a window there's a window there's a little tiny window upstairs,Benjamin,pro:exist det:art n pro:exist det:art n pro:exist det:art adj adj n adv,male
Mommy's going to bite the sandwich okay,Emily,n:prop part inf v det:art n adj,female
is that a big horse or a little horse,Benjamin,cop comp det:art adj n coord det:art adj n,male
the bottom broke off and we hadta like put it back together and it hasn't been the same since,Benjamin,det:art n adj adv coord pro:sub mod co v pro:per adv adv coord pro:per aux cop det:art adj prep,male
what else do you do at Granny and Papa's,Benjamin,pro:int post v pro:per v prep n:prop coord adj,male
might be too big sweetie,Benjamin,mod cop adv adj co,male
oh pretty good okay,Benjamin,co adv adj adj,male
you goofy,Benjamin,pro:per adj,male
you can wear the nice,Benjamin,pro:per mod v det:art adj,male
you did sit on the potty chair today,Emily,pro:per v v prep det:art adj n adv:tem,female
that's a long way to go for candy,Benjamin,pro:dem det:art adj adv inf v prep n,male
maybe soon,Benjamin,adv adj,male
I think his microphone's on the floor Ryan I don't if know if you,Benjamin,pro:sub v det:poss adj prep det:art n n:prop pro:sub mod comp v comp pro:per,male
instant mean guy,Benjamin,adj adj n,male
you see how easy that was,Benjamin,pro:per v pro:rel adj adv cop,male
how come everybody's mean today and killing,Benjamin,pro:int v adj adj adv:tem coord part,male
you better make some of them nice guys so they can get out of jail,Benjamin,pro:per adj v pro:indef prep pro:obj adj n conj pro:sub mod v adv prep n,male
a pumpkin the first year,Emily,det:art n det:art adj n,female
what were you the second year,Emily,pro:int cop pro:per det:art adj n,female
hey Ben who was the good guy we watched on tv last night,Benjamin,co n:prop pro:rel cop det:art adj n pro:sub v prep n adv n,male
he's just a big green guy huh,Emily,pro:sub adv det:art adj n n co,female
he's not scary is he,Emily,pro:sub neg adj cop pro:sub,female
he's a tall green guy huh,Emily,pro:sub det:art adj adj n co,female
a big guy,Emily,det:art adj n,female
Cassandra's,Emily,adj,female
we hadta make sure the building was safe,Emily,pro:sub mod v adj det:art n cop adj,female
what do you tell Mommy when I'm too close to the wall,Emily,pro:int mod pro:per v n:prop conj pro:sub adv adj prep det:art n,female
we tied it very safe right,Emily,pro:sub v pro:per adv adj co,female
you don't want it to touch the ceiling it's sharp and prickly up there,Emily,pro:per mod v pro:per inf v det:art n pro:per adj coord adj prep n,female
how did he get that big fish,Emily,pro:int mod pro:sub v det:dem adj n,female
just a little bit huh,Emily,adv det:art adj n co,female
they saw Uncle_Aggie's fish too,Emily,pro:sub v adj n adv,female
oh and Phil okay,Emily,co coord n:prop adj,female
can you tell me the names of the little boys you were playing with,Emily,mod pro:per v pro:obj det:art n prep det:art adj n pro:per aux part prep,female
not on your nice blanky please,Emily,neg prep det:poss adj adj co,female
oh wow that looks like that would be good today,Emma,co co pro:rel v prep pro:dem mod cop adj adv:tem,female
Ten_Little_Ladybugs did you read that for Jessica last time,Emma,n:prop mod pro:per v adv prep n:prop adj n,female
you did wear it to Janie's yesterday didn't ya,Emma,pro:per v v pro:per inf adj adv:tem mod pro:per,female
who was your favorite playmate in Germany,Emma,pro:int cop det:poss adj prep n:prop,female
whoever designed the car they were goofy,Emma,pro:int v det:art n pro:sub cop adj,female
that sounds good,Emma,pro:rel v adj,female
do you think you might be a little big,Emma,mod pro:per v pro:per mod cop det:art adj adj,female
I think that's part of Daddy's uh bike helmet,Emma,pro:sub v comp n prep adj n n,female
a big rhinoceros,Emma,det:art adj n,female
what are you doing goofy girl,Emma,pro:int aux pro:per part adj n,female
that's pretty cool,Emma,pro:dem adv adj,female
you are completely incomprehensible do you know that,Emma,pro:per cop adv adj mod pro:per v pro:dem,female
it's right there sweet pea,Emma,pro:per adv adv adj n,female
well can you put it back in,Emma,co mod pro:per v pro:per adj adv,female
you be gentle pretty girl,Emma,pro:per cop adj adj n,female
talk about standard gender representation,Emma,n adv adj n n,female
take Aunt_Carey into the back room and show her those toys,Emily,v n:prop prep det:art adj n coord v pro:obj det:dem n,female
what cheeky,Emma,pro:int adj,female
that poor lion,Emma,det:dem adj n,female
you're eating that whole sandwich,Emma,pro:per n:gerund adv adj n,female
that's a little microphone,Emma,pro:dem det:art adj n,female
you know usually with pretend food we just pretend to eat it,Emma,pro:per v adv prep adj n pro:sub adv adj inf v pro:per,female
yes that's what I was afraid of,Emma,co pro:dem pro:int pro:sub cop adj prep,female
let's try to be gentle with this and you know a good thing is to not touch that part right,Emma,v v inf cop adj prep det:dem coord pro:per v det:art adj n cop inf neg v det:dem n co,female
you know that part that you are touching,Emma,pro:per v adv adj comp pro:per aux part,female
well the battery's in there,Emma,co det:art adj prep n,female
no okay,Emma,co adj,female
it's white,Emma,pro:per adj,female
it's white peanut butter,Emma,pro:per adj n n,female
we don't eat stickers we just stick them on things,Emma,pro:sub mod v n pro:sub adj n pro:obj prep n,female
you're a goofy,Emma,pro:per det:art adj,female
oh we do okay,Emma,co pro:sub v adj,female
where's the restaurant sweet pea,Emma,pro:int det:art n adj n,female
do you think you could help out your poor deaf mother and speak louder,Emma,mod pro:per v pro:per mod v adv det:poss adj adj n coord v adj,female
chipper chopper,Emma,adj n,female
chipper chopper chipper chopper,Emma,adj n adj n,female
I suppose you could draw on that but I think you're a goofy girl,Emma,pro:sub v pro:per mod v prep det:dem conj pro:sub v pro:per det:art adj n,female
it's a long story,Emma,pro:per det:art adj n,female
red oh it looks like red,Emma,adj co pro:per v co n,female
whatcha drawing sweet pea,Emma,pro:int aux pro:per part adj n,female
yeah that's nice,Emma,co pro:dem adj,female
you drawing daddy's beard,Emma,pro:per n adj n,female
I know mommy didn't mean to do that,Emma,pro:sub v n mod adj inf v pro:dem,female
you what sweet pea,Emma,pro:per pro:int adj n,female
Heidi's your friend huh,Emma,adj det:poss n co,female
I guess there's more ambient noise here isn't there,Emma,pro:sub v pro:exist adv adj n adv cop adv,female
I think Jessica's gonna go and get something yeah,Emma,pro:sub v adj part v coord v pro:indef co,female
I'll see you sweet pea I'm off to Aunt_Chrissy's,Emma,pro:sub v pro:per n n pro:sub adv inf adj,female
wow you're good,Jillian,co pro:per adj,female
are you sure it was Jenell,Jillian,cop pro:per adj pro:per cop n:prop,female
a big car isn't it,Jillian,det:art adj n cop pro:per,female
doesn't she usually take somebody along with her for at least part of the ride,Jillian,mod pro:sub adv v pro:indef adv prep pro:obj prep prep adj n prep det:art n,female
what's the little boy doing in that pool,Jillian,pro:int det:art adj n part prep det:dem n,female
you said last time you liked to do it in the bathtub,Jillian,pro:per v adj n pro:per v inf v pro:per prep det:art,female
is that a new book,Jillian,cop comp det:art adj n,female
when's the last time you went to the doctor,Jillian,pro:int det:art adj n pro:per v prep det:art n,female
we got a new pool for you right,Jillian,pro:sub v det:art adj n prep pro:per co,female
what's the little boy doing now,Jillian,pro:int det:art adj n part adv,female
isn't this nice,Jillian,cop det:dem adj,female
this one's a brand new one,Jillian,pro:dem adj det:art adj adj pro:indef,female
where'd that little boy go,Jillian,pro:int mod det:dem adj n v,female
it is kinda crazy,Jillian,pro:per cop adj prep adj,female
it's a crazy car,Jillian,pro:per det:art adj n,female
is it okay that we that she uses them right,Jillian,cop pro:per adj comp pro:sub pro:rel pro:sub v pro:obj adj,female
oh yummy,Jillian,co adj,female
what's their favorite breakfast,Jillian,pro:int det:poss adj n,female
and this orange truck is doing something very different that I've never seen,Jillian,coord det:dem adj n aux part pro:indef adv adj comp pro:sub adv part,female
what is the orange truck doing,Jillian,pro:int cop det:art adj n part,female
I think this kind of sand is probably concrete for the street,Jillian,pro:sub v det:dem adj prep n cop adv n prep det:art n,female
she's going far huh,Jillian,pro:sub n:gerund adj co,female
I useta have this when I was a little girl do you know that,Jillian,pro:sub mod v pro:dem conj pro:sub cop det:art adj n v pro:per v pro:dem,female
this exact toy,Jillian,pro:dem adj n,female
oh sure,Jillian,co adj,female
oh I can move it and make it more comfortable for you if you'd like,Jillian,co pro:sub mod v pro:per coord v pro:per adv adj prep pro:per conj pro:per prep,female
can we keep it on a little bit longer do you think,Jillian,mod pro:sub v pro:per prep det:art adj n adj v pro:per v,female
yeah mommy's got one too,Jillian,co adj part pro:indef adv,female
Jilly if you wanna read Cat_in_the_Hat you hafta ask Jenell if that's okay,Jillian,n:prop conj pro:per v v n:prop pro:per mod v n:prop conj pro:dem adj,female
is that a friend of Rocky's,Jillian,cop comp det:art n prep adj,female
it was nice,Jillian,pro:per cop adj,female
she gets really hungry,Jillian,pro:sub v adv adj,female
my_goodness Rocky must be a good friend of yours,Jillian,co n:prop mod cop det:art adj n prep pro:poss,female
and thirsty,Jillian,coord adj,female
well it's a chocolate milk okay,Jillian,co pro:per det:art n n adj,female
wow there's always different kind of things in Doctor_Seuss books things you'd never see any place else right,Jillian,co pro:exist adv adj n prep n prep n:prop n n pro:per adv v qn n post co,female
yeah that's like a fishy,Jillian,co pro:rel prep det:art adj,female
very good,Jillian,adv adj,female
huh there's a lot of good things in this book aren't there,Jillian,co pro:exist det:art n prep adj n prep det:dem n aux adv,female
to be careful,Jillian,inf cop adj,female
because it was slippery right,Jillian,conj pro:per cop adj co,female
he's so pretty,Jillian,pro:sub adv adj,female
remember she was so nice to us,Jillian,v pro:sub cop adv adj prep pro:obj,female
must be a very small person,Jillian,mod cop det:art adv adj n,female
first before we go visit Jenell,Jillian,adj conj pro:sub v n n:prop,female
very nice,Jillian,adv adj,female
was she very nice to us,Jillian,cop pro:sub adv adj prep pro:obj,female
do they say funny things,Jillian,mod pro:sub v adj n,female
wow we're funny,Jillian,co pro:sub adj,female
because sometimes you know when things get wet they get really slippery,Jillian,conj adv pro:per v conj n v adj pro:sub v adv adj,female
but I think we should definitely tell Jenell that there are very nice people,Jillian,conj pro:sub v pro:sub mod adv v n:prop adv adv cop adv adj n,female
you need a kiss on the back there,Jillian,pro:per v det:art n prep det:art adj adv,female
work here and let us know how to be careful,Jillian,n adv coord v pro:obj v pro:int inf cop adj,female
better,Jillian,adj,female
like which is different than a captain,Jillian,co pro:rel cop adj prep det:art n,female
I'm sorry,Jillian,pro:sub adj,female
let's see what else is on the next page,Jillian,v v pro:int post aux prep det:art adj n,female
this is a good game,Jillian,pro:dem cop det:art adj n,female
it's empty now honey,Jillian,pro:per adj adv n,female
it really is empty,Jillian,pro:per adv cop adj,female
you drank that fast,Jillian,pro:per v adv adj,female
mhm he is a sad fish,Jillian,co pro:sub cop det:art adj n,female
there's nothing left honey bun,Jillian,pro:exist pro:indef adj n n,female
I wonder why he's sad,Jillian,pro:sub v pro:rel pro:sub adj,female
it's really kind of empty,Jillian,pro:per adv n prep adj,female
let's try and look at the picture and see if we can find out why he's sad,Jillian,v v coord v prep det:art n coord v conj pro:sub mod v prep pro:rel pro:sub adj,female
what's the little boy doing,Jillian,pro:int det:art adj n part,female
it might make him sick,Jillian,pro:per mod v pro:obj adj,female
you get the clean water out of the sink and you put it in the cup,Jillian,pro:per v det:art adj n adv prep det:art n coord pro:per v pro:per prep det:art n,female
good covering your mouth,Jillian,adj n:gerund det:poss n,female
he's kinda different,Jillian,pro:sub n prep adj,female
there isn't another we're gonna have dinner in a little while,Jillian,pro:exist cop qn pro:sub part v n prep det:art adj n,female
the little baby fish is in the crib,Jillian,det:art adj n n cop prep det:art n,female
maybe that's Rocky's friend do you think,Jillian,adv pro:rel adj n v pro:per v,female
was he dirty,Jillian,cop pro:sub adj,female
yeah he was dirty,Jillian,co pro:sub cop adj,female
what do they do all day to get dirty,Jillian,pro:int mod pro:sub v qn n inf v adj,female
no this what did this doggie do during the day to get himself all dirty,Jillian,co det:dem pro:int mod det:dem n v prep det:art n inf v pro:refl adv adj,female
he's happy,Jillian,pro:sub adj,female
same thing you like to do in the tub right,Jillian,adj n pro:per v inf v prep det:art n co,female
Minnie is the one who's who's got something special,Jillian,n:prop cop det:art det:num pro:rel part pro:indef adj,female
and who who do you pretend to be when you're in the bathtub,Jillian,coord pro:int mod pro:per adj inf cop conj pro:per prep det:art,female
does she have a pretty bow in her hair,Jillian,mod pro:sub v det:art adj n prep det:poss n,female
and you have a little fish friend who's he,Jillian,coord pro:per v det:art adj n n pro:rel pro:sub,female
yeah and you guys just swim in the bathtub,Jillian,co coord pro:per n adj n prep det:art,female
is that fun,Jillian,cop pro:dem adj,female
did you take a bath at Bubba's,Jillian,mod pro:per v det:art n prep adj,female
yeah was that fun,Jillian,co cop pro:dem adj,female
that's Jillian's mom,Jillian,pro:dem adj n,female
oh good,Jillian,co adj,female
it's a funny car though huh,Jillian,pro:per det:art adj n conj co,female
oh that happened didn't that happen that happened at Taylor and Tia's house this um Sunday didn't it,Jillian,co pro:rel part mod adv v pro:rel v prep n:prop coord adj n det:dem n:prop mod pro:per,female
he kinda you're right his face does look a little bit scared,Jillian,pro:sub n prep pro:per adj det:poss n v v det:art adj n part,female
what did you do at Taylor and Tia and Michael and Erik's house this on Sunday remember,Jillian,pro:int mod pro:per v prep n:prop coord n:prop coord n:prop coord adj n prep n:prop v,female
that's right you were playing with Erik right,Jillian,pro:dem adj pro:per aux part prep n:prop adj,female
tell them all about what this little boy is doing,Jillian,v pro:obj adv prep pro:int det:dem adj n aux part,female
why is he bad,Jillian,pro:int cop pro:sub adj,female
maybe he's not bad,Jillian,adv pro:sub neg adj,female
is it is it comfortable Jillian or does it,Jillian,aux pro:per adj n:prop coord mod pro:per,female
oh gosh I hope he's okay,Jillian,co co pro:sub v pro:sub adj,female
and what's this little what is that,Jillian,coord pro:int det:dem adj pro:int cop pro:dem,female
a little kitten,Jillian,det:art adj n,female
do you think it's yummy,Jillian,mod pro:per v pro:per adj,female
we took him back to his mommy and daddy's where did we go,Jillian,pro:sub v pro:obj adv prep det:poss n coord adj pro:rel mod pro:sub v,female
gosh I feel so bad,Jillian,co pro:sub v adv adj,female
he's a happy horsie,Jillian,pro:sub det:art adj n,female
that's a real shame that he hurt his feet,Jillian,pro:dem det:art adj n pro:rel pro:sub v det:poss n,female
you're very lucky because daddy noticed that you even have a story you know very well,Jillian,pro:per adv adj conj n v comp pro:per adv v det:art n pro:per v adv adv,female
oh the owl but the owl doesn't look scary here he looks tired,Jillian,co det:art n conj det:art n mod v adj adv pro:sub cop part,female
what does she hafta do to be able to push him,Jillian,pro:int v pro:sub mod v inf cop adj inf v pro:obj,female
he looks very sleepy,Jillian,pro:sub cop adv adj,female
what's this little guy,Jillian,pro:int det:dem adj n,female
there's a couple of different xxx,Jillian,pro:exist det:art n prep adj,female
it looks like he's he's doing something funny though,Jillian,pro:per v conj pro:sub part pro:indef adj adv,female
that's good,Jillian,pro:dem adj,female
that will be able to get her to work faster and it will be able to get her to back to pick up the baby faster right,Jillian,pro:dem mod cop adj inf v pro:obj inf v adj coord pro:per mod cop adj inf v pro:obj inf adv inf v adv det:art n adj adj,female
black and yellow and I bet they'll leave a black and blue,Jillian,n coord n coord pro:sub v pro:sub v det:art n coord adj,female
that's that's real at my house,Jillian,pro:dem adj prep det:poss n,female
good,Jillian,adj,female
I'm glad to hear it,Jillian,pro:sub adj inf v pro:per,female
wow he's gotta walk on the ceiling to get to his friend's house my_goodness,Jillian,co pro:sub mod v prep det:art n inf v prep det:poss adj n co,female
poor things,Jillian,adj n,female
look kinda hard,Jillian,v n prep adj,female
oh I'm so happy to see you Jillian,Jillian,co pro:sub adv adj inf v pro:per n:prop,female
hello little Joey,Jillian,co adj n:prop,female
hello how was your day did you have a good day,Jillian,n pro:rel cop det:poss n mod pro:per v det:art adj n,female
no it's not a potty cutie it's a,Jillian,co pro:per neg det:art adj n pro:per det:art,female
he's sick,Jillian,pro:sub adj,female
very good,Jillian,adv adj,female
a nurse's doctor,Jillian,det:art adj n,female
very nice,Jillian,adv adj,female
mommy's at daycare and Joey's at work,Jillian,n prep coord adj prep n,female
it's a little bit different from the one we have at home sweetie so it doesn't have the the thing there but credit card,Jillian,pro:per det:art adj n adj prep det:art pro:indef pro:sub v prep adv co co pro:per mod v det:art n adv conj n n,female
Jilly's what,Jillian,adj pro:int,female
that's kinda what they do huh,Jillian,pro:rel adj prep pro:int pro:sub v co,female
Jilly's grumble,Jillian,adj n,female
that's great,Jillian,pro:dem adj,female
all better,Jillian,adv adj,female
that might be too too silly huh,Jillian,pro:rel mod cop adv adv adj co,female
